svlId,svlRecId,channelId,brdcstType,nwMask,optionMask,serviceType,channelNumber,serviceName,frequency,brdcstMedium,favorites1Index,favorites2Index,favorites3Index,favorites4Index,tslId,tslRecId,nwlId,nwlRecId,satlId,satlRecId,shortName,bandWidth,nwId,onId,tsId,progId,symRate,mod,pol,satRecId,nwName,barkerMask,sdtServiceType,hbbtvStatus,svcProName,mfType,categoryMask
3,440,174588033,2,1057295,512,1,666,SERHAT TV,12035,3,0,0,0,0,3,310,3,1,3,7,,0,66,66,3,1335,27492,2,2,7,DEMIROREN MEDYA,1,1,0,,0,0
3,443,175374465,2,1057295,512,1,669,TELE 1 HD,12035,3,0,0,0,0,3,310,3,1,3,7,,0,66,66,3,1320,27492,2,2,7,DEMIROREN MEDYA,1,25,0,,0,0
3,444,175636609,2,1057295,512,1,670,TV 8 INT,12035,3,0,0,0,0,3,310,3,1,3,7,,0,66,66,3,1318,27492,2,2,7,DEMIROREN MEDYA,1,25,0,,0,0
3,478,184549505,2,1057295,512,1,704,TRT MUZIK HD,11794,3,0,0,0,0,3,343,3,7,3,7,,0,1070,1070,43105,10608,30005,2,2,7,TRT,0,25,0,,0,0
3,481,185335937,2,1057295,512,1,707,FREEDOM,12685,3,0,0,0,0,3,317,3,2,3,7,,0,1070,1070,31502,51810,27500,2,1,7,TURKSAT,0,1,0,,0,0
3,485,186384513,2,1057295,512,1,711,TV264,12685,3,0,0,0,0,3,317,3,2,3,7,,0,1070,1070,31502,51824,27500,2,1,7,TURKSAT,0,1,0,,0,0
3,486,186646657,2,1057295,512,1,712,TV42,12685,3,0,0,0,0,3,317,3,2,3,7,,0,1070,1070,31502,51813,27500,2,1,7,TURKSAT,0,1,0,,0,0
3,495,189005953,2,1057295,512,1,721,LIDER HABER HD,12246,3,0,0,0,0,3,297,3,1,3,7,,0,66,66,7,1707,27500,2,1,7,DEMIROREN MEDYA,1,25,0,,0,0
3,496,189268097,2,1059343,8704,1,722,LOVE NATURE,12246,3,0,0,0,0,3,297,3,1,3,7,,0,66,66,7,1712,27500,2,1,7,DEMIROREN MEDYA,1,25,0,,0,0
3,526,197132417,2,1057295,512,1,752,VAV TV,11999,3,0,0,0,0,3,304,3,3,3,7,,0,1070,1070,40504,16403,11667,2,2,7,{90DDA122-D72A-44F4-8716-F59713,0,1,0,,0,0
3,550,203423873,2,1057295,512,1,776,D anadolu,12035,3,0,0,0,0,3,310,3,1,3,7,,0,66,66,3,1325,27492,2,2,7,DEMIROREN MEDYA,1,1,0,,0,0
3,553,204210305,2,1057295,512,1,779,BIR TV,12685,3,0,0,0,0,3,317,3,2,3,7,,0,1070,1070,31502,51827,27500,2,1,7,TURKSAT,0,1,0,,0,0
3,554,204472449,2,1057295,512,1,780,BFZ ,12729,3,0,0,0,0,3,323,3,2,3,7,,0,1070,1070,30401,51646,30000,2,2,7,TURKSAT,0,1,0,,0,0
3,557,205258881,2,1057295,512,1,783,EGE TV,12685,3,0,0,0,0,3,317,3,2,3,7,,0,1070,1070,31502,51828,27500,2,1,7,TURKSAT,0,1,0,,0,0
3,564,207093889,2,1057295,512,1,790,RUSSIA 24 TV,11558,3,0,0,0,0,3,318,3,2,3,7,,0,1070,1070,30601,51009,30005,2,2,7,TURKSAT,0,1,0,,0,0
3,572,209191041,2,1057295,512,1,798,RUMELï¿½ï¿,12035,3,0,0,0,0,3,310,3,1,3,7,,0,66,66,3,1304,27492,2,2,7,DEMIROREN MEDYA,1,1,0,,0,0
3,573,209453185,2,1057295,512,1,799,CINE 1,12265,3,0,0,0,0,3,313,3,18,3,7,,0,1070,1070,41501,14635,27500,2,2,7,GUC TELEKOM,0,1,0,,0,0
3,608,218628225,2,1057295,512,1,834,MK TV,12265,3,0,0,0,0,3,313,3,18,3,7,,0,1070,1070,41501,14618,27500,2,2,7,GUC TELEKOM,0,1,0,,0,0
3,610,219152513,2,1057295,512,1,836,EDESSA TV,12685,3,0,0,0,0,3,302,3,2,3,7,,0,1070,1070,31702,50809,30005,2,2,7,TURKSAT,0,1,0,,0,0
3,616,220725377,2,1057295,512,1,842,KON TV,12685,3,0,0,0,0,3,317,3,2,3,7,,0,1070,1070,31502,51803,27500,2,1,7,TURKSAT,0,1,0,,0,0
3,617,220987521,2,1057295,512,1,843,TV 1,12685,3,0,0,0,0,3,317,3,2,3,7,,0,1070,1070,31502,51804,27500,2,1,7,TURKSAT,0,1,0,,0,0
3,620,221773953,2,1057295,512,1,846,NR1 TURK TV,12729,3,0,0,0,0,3,323,3,2,3,7,,0,1070,1070,30401,51629,30000,2,2,7,TURKSAT,0,1,0,,0,0
3,625,223084673,2,1057295,512,1,851,PERSIANA TURKIYE,12084,3,0,0,0,0,3,344,3,2,3,7,,0,1070,1070,41005,52006,13746,2,1,7,TURKSAT,0,1,0,,0,0
3,627,223608961,2,1057295,512,1,853,TRT EBA HD,12084,3,0,0,0,0,3,344,3,2,3,7,,0,1070,1070,41005,52002,13746,2,1,7,TURKSAT,0,25,0,,0,0
